band,stratification,incumbent_mean_offdiag,incumbent_n_eff_pr,share_ratio_median,share_ratio_max,frac_scales_flat,stratum_mean_offdiag_median,n_strata_estimated,cond1_shares_flat,cond2_strata_as_correlated,dilution_falsified
theta,octave,-0.013430448842025402,7.278792934337447,1.131605495461937,1.2645980461539066,1.0,-0.0017453536094623942,6,True,True,True
theta,quintile,-0.013430448842025402,7.278792934337447,1.1301265874686046,1.280824054847843,1.0,-0.007647453861000102,5,True,True,True
beta,octave,0.012499843220924239,7.824313616828193,1.0707562766585217,1.168621871016857,1.0,0.003940230498822179,6,True,True,True
beta,quintile,0.012499843220924239,7.824313616828193,1.0735755281616117,1.1684138987426311,1.0,-0.009789145337228336,5,True,True,True
